"","DistNo.","nX","P2","Q","TruROP","Method","Mean"
"468","20","12","0.99","94","132.858683413945","boot","122.3977052725"
"469","20","24","0.8","18","115.881309547089","boot","123.32310884892"
"470","20","24","0.85","25","118.188051072773","boot","123.229339737315"
"471","20","24","0.9","38","121.050214070076","boot","123.17076959075"
"472","20","24","0.95","44","125.212875702924","boot","124.323934262838"
"473","20","24","0.98","78","129.801135556467","boot","124.895754420583"
"474","20","24","0.99","94","132.858683413945","boot","125.432686336407"
"475","20","30","0.8","18","115.881309547089","boot","123.405252490708"
"476","20","30","0.85","25","118.188051072773","boot","123.297433773982"
"477","20","30","0.9","38","121.050214070076","boot","123.305702881938"
"478","20","30","0.95","44","125.212875702924","boot","124.636070948613"
"479","20","30","0.98","78","129.801135556467","boot","125.24859433211"
"480","20","30","0.99","94","132.858683413945","boot","125.889435098564"
"481","21","7","0.8","31","125.903988513299","boot","126.344810510809"
"482","21","7","0.85","42","127.828990530725","boot","126.349732788778"
"483","21","7","0.9","63","130.170262527867","boot","126.167426023806"
"484","21","7","0.95","73","133.563442010381","boot","126.93553769299"
"485","21","7","0.98","130","137.275420301593","boot","127.204563917863"
"486","21","7","0.99","156","139.717855050831","boot","127.477111058955"
"487","21","12","0.8","31","125.903988513299","boot","128.524893255009"
"488","21","12","0.85","42","127.828990530725","boot","128.545350457747"
"489","21","12","0.9","63","130.170262527867","boot","128.502037886176"
"490","21","12","0.95","73","133.563442010381","boot","129.213983001725"
"491","21","12","0.98","130","137.275420301593","boot","129.526415754263"
"492","21","12","0.99","156","139.717855050831","boot","129.890629189337"
"493","21","24","0.8","31","125.903988513299","boot","130.791715569417"
"494","21","24","0.85","42","127.828990530725","boot","130.75811121624"
"495","21","24","0.9","63","130.170262527867","boot","130.764901474927"
"496","21","24","0.95","73","133.563442010381","boot","131.850506384212"
"497","21","24","0.98","130","137.275420301593","boot","132.322350266365"
"498","21","24","0.99","156","139.717855050831","boot","132.858986782525"
"499","21","30","0.8","31","125.903988513299","boot","132.163071933904"
"500","21","30","0.85","42","127.828990530725","boot","132.098746777453"
"501","21","30","0.9","63","130.170262527867","boot","132.101575766854"
"502","21","30","0.95","73","133.563442010381","boot","133.371424815975"
"503","21","30","0.98","130","137.275420301593","boot","133.952266683056"
"504","21","30","0.99","156","139.717855050831","boot","134.592647987984"
